umap1,umap2,cell_type,sample,annotation_source
-4.0444026,0.78628606,Spp1+ TAM,E14S,transferred
2.0561512,15.109936,NK,E14S,transferred
-0.21211171,-7.70371,Neutrophil,E14S,transferred
16.450674,7.232049,Hypoxic Tumor,E14S,transferred
2.6714349,7.4889746,mDC,E14S,transferred
2.560746,12.737119,Regulatory CD4 T,E14S,transferred
16.817543,7.1218305,Hypoxic Tumor,E14S,transferred
-3.9008257,6.408377,Resident Macrophage,E14S,transferred
-5.50337,4.572764,Resident Macrophage,E14S,transferred
-4.2799406,4.249223,C1qc+ TAM,E14S,transferred
0.11928296,-5.413732,Neutrophil,E14S,transferred
-5.8249707,4.698154,C1qc+ TAM,E14S,transferred
-0.69268763,4.5638833,Monocyte,E14S,transferred
1.2707205,13.66899,NK,E14S,transferred
-1.0722554,4.997404,mDC,E14S,transferred
2.948677,-7.307842,Neutrophil,E14S,transferred
2.2443552,6.855632,mDC,E14S,transferred
-4.767281,4.4133677,Resident Macrophage,E14S,transferred
17.37849,6.815453,Hypoxic Tumor,E14S,transferred
-5.72075,1.1502575,Spp1+ TAM,E14S,transferred
-5.2382317,4.6493225,Resident Macrophage,E14S,transferred
-5.1991215,3.4654205,Resident Macrophage,E14S,transferred
-0.508307,0.20863956,Monocyte,E14S,transferred
3.3686705,12.963383,CD8 Exhausted Proliferating,E14S,transferred
-5.543867,3.098439,Resident Macrophage,E14S,transferred
2.0060015,14.992205,NK,E14S,transferred
-4.472348,5.3984694,C1qc+ TAM,E14S,transferred
19.032475,7.5284204,Hypoxic Tumor,E14S,transferred
-0.07327728,5.029915,cDC,E14S,transferred
16.293167,8.887705,Hypoxic Tumor,E14S,transferred
-4.5494223,2.1342738,Il1b+ TAM,E14S,transferred
-5.6190896,3.587407,Resident Macrophage,E14S,transferred
3.0976882,12.171068,Regulatory CD8 T,E14S,transferred
1.1676779,-6.4867673,Neutrophil,E14S,transferred
-1.9227896,4.907203,Resident Macrophage,E14S,transferred
-4.9952803,4.5226316,Resident Macrophage,E14S,transferred
-3.4054453,6.554545,C1qc+ TAM,E14S,transferred
-3.729481,3.385303,Resident Macrophage,E14S,transferred
-4.7958703,2.9435992,Il1b+ TAM,E14S,transferred
-4.8334017,3.7404034,C1qc+ TAM,E14S,transferred
-3.5771334,3.390224,Il1b+ TAM,E14S,transferred
-2.9374182,4.4044275,C1qc+ TAM,E14S,transferred
-1.7299224,3.6559305,Resident Macrophage,E14S,transferred
-0.3176216,1.6011833,Monocyte,E14S,transferred
-5.051563,1.1295059,Resident Macrophage,E14S,transferred
2.6019425,-7.3493123,Neutrophil,E14S,transferred
-0.34388065,0.5887262,Monocyte,E14S,transferred
3.0494244,12.681158,Regulatory CD8 T,E14S,transferred
-3.768551,1.8136322,Il1b+ TAM,E14S,transferred
-6.3438144,3.9910843,Resident Macrophage,E14S,transferred
-5.8686724,2.4178848,Il1b+ TAM,E14S,transferred
-4.538159,2.4641035,Resident Macrophage,E14S,transferred
-4.3270793,1.7356969,Il1b+ TAM,E14S,transferred
-6.25837,4.04373,Resident Macrophage,E14S,transferred
-5.70337,0.6499099,Spp1+ TAM,E14S,transferred
-1.2190822,0.2550966,Il1b+ TAM,E14S,transferred
-1.6829945,3.6278825,Il1b+ TAM,E14S,transferred
3.2223163,12.438635,Regulatory CD8 T,E14S,transferred
-0.75755924,0.92886835,Monocyte,E14S,transferred
-4.9922013,2.03654,Il1b+ TAM,E14S,transferred
-4.135335,4.241741,Il1b+ TAM,E14S,transferred
-1.3533504,2.6288574,Monocyte,E14S,transferred
-0.14041919,1.3463988,Monocyte,E14S,transferred
0.11848143,0.97738355,Monocyte,E14S,transferred
0.0013238987,-6.4014606,Neutrophil,E14S,transferred
-5.3274326,0.7837259,Spp1+ TAM,E14S,transferred
-4.3102074,4.8151164,C1qc+ TAM,E14S,transferred
-2.612223,4.7848034,Resident Macrophage,E14S,transferred
-5.334665,1.7696693,Il1b+ TAM,E14S,transferred
-6.2862964,2.1377847,Resident Macrophage,E14S,transferred
-5.25052,2.0679116,Il1b+ TAM,E14S,transferred
-0.26409173,1.7488408,Monocyte,E14S,transferred
2.2734716,7.2892895,mDC,E14S,transferred
16.990358,6.218286,Hypoxic Tumor,E14S,transferred
-6.312813,3.0003185,C1qc+ TAM,E14S,transferred
-1.068202,2.6505601,Monocyte,E14S,transferred
1.8111267,14.764677,NK,E14S,transferred
0.48707038,1.1900984,Monocyte,E14S,transferred
3.0918486,13.066597,CD8 Terminally Exhausted,E14S,transferred
-3.9303389,4.15483,Il1b+ TAM,E14S,transferred
16.676844,6.724534,Hypoxic Tumor,E14S,transferred
-1.4216607,4.0732694,Monocyte,E14S,transferred
-4.840711,1.7232115,Il1b+ TAM,E14S,transferred
-0.8784494,2.2857847,Monocyte,E14S,transferred
-2.2166855,2.10248,Monocyte,E14S,transferred
-3.4731684,4.7480435,C1qc+ TAM,E14S,transferred
-5.8376117,1.270501,Spp1+ TAM,E14S,transferred
0.68023837,-8.693049,Neutrophil,E14S,transferred
-6.9013324,2.0686035,C1qc+ TAM,E14S,transferred
0.25773546,-5.5383005,Neutrophil,E14S,transferred
-3.8380384,2.9641402,Monocyte,E14S,transferred
-4.3454623,0.34937882,Spp1+ TAM,E14S,transferred
-1.7173398,3.5089755,Resident Macrophage,E14S,transferred
-4.062706,4.18216,Monocyte,E14S,transferred
-5.0080924,0.81162846,Resident Macrophage,E14S,transferred
1.4728822,-8.228907,Neutrophil,E14S,transferred
0.9684551,5.7454333,cDC,E14S,transferred
0.3511994,4.7500167,cDC,E14S,transferred
1.2503988,-8.376164,Neutrophil,E14S,transferred
3.2670043,12.390976,CD8 Exhausted Proliferating,E14S,transferred
19.809479,8.415331,Hypoxic Tumor,E14S,transferred
-4.3861246,3.344529,Resident Macrophage,E14S,transferred
-2.3127234,1.7927898,Il1b+ TAM,E14S,transferred
-3.7761352,5.154231,C1qc+ TAM,E14S,transferred
-1.0725468,1.0615947,Monocyte,E14S,transferred
-6.448211,1.1581998,Resident Macrophage,E14S,transferred
-4.513356,4.637579,Il1b+ TAM,E14S,transferred
-2.250686,1.0279056,Monocyte,E14S,transferred
-4.717291,3.2805874,Il1b+ TAM,E14S,transferred
26.973515,3.9322321,Tumor,E14S,transferred
-4.658929,3.9536672,C1qc+ TAM,E14S,transferred
-5.2056117,5.7008023,C1qc+ TAM,E14S,transferred
1.7380825,14.229018,NK,E14S,transferred
-5.6457195,0.8066656,Spp1+ TAM,E14S,transferred
-2.805564,2.530967,Monocyte,E14S,transferred
0.092405625,0.6223443,Monocyte,E14S,transferred
0.017060878,0.9271919,Monocyte,E14S,transferred
-4.757036,1.960705,Monocyte,E14S,transferred
-3.2545555,0.43894023,Spp1+ TAM,E14S,transferred
-4.227492,3.979332,Monocyte,E14S,transferred
1.7162349,-8.577883,Neutrophil,E14S,transferred
-2.0548637,2.9786556,Resident Macrophage,E14S,transferred
3.213312,13.001052,CD8 Exhausted Proliferating,E14S,transferred
17.226217,7.579644,Hypoxic Tumor,E14S,transferred
1.4208944,13.914752,NK,E14S,transferred
-5.6362896,3.9103343,Resident Macrophage,E14S,transferred
-3.2131803,1.6495063,Il1b+ TAM,E14S,transferred
-0.81971735,-8.102002,Neutrophil,E14S,transferred
2.8545022,11.200468,CD8 Terminally Exhausted,E14S,transferred
-5.7525787,2.410459,Il1b+ TAM,E14S,transferred
2.3931537,15.260282,NK,E14S,transferred
26.08448,4.7761846,Hypoxic Tumor,E14S,transferred
