sample,query,anchor,median_dist,bg_median_dist,ratio_vs_bg,p_vs_bg,n_query,n_anchor
E14S,Spp1_TAM,C1qc_TAM,0.46800021381358325,0.4619829474791599,1.0130248667559203,0.7924492560357923,260,525
E14S,Spp1_TAM,Il1b_TAM,0.350366408353612,0.34162916354642114,1.0255752310970478,0.11712749877011867,260,850
E14S,Spp1_TAM,Neutrophil,0.6461725554621005,0.528947855061409,1.2216186326856022,0.03417737787392795,260,495
E14S,Spp1_TAM,CAF,4.480927812396208,3.6243765753828225,1.2363306403730725,0.001394233110606302,260,10
E14S,Spp1_TAM,Stromal,2.5043824162347894,2.2001059027305843,1.138300848666677,0.011798119920854026,260,30
E14S,Spp1_TAM,CD8_exh,0.969438602375407,0.9291210342314915,1.0433932358202003,0.42257918491791036,260,198
E14S,Spp1_TAM,NK,0.8830907409338795,0.8563668382015366,1.0312061391686604,0.29091813971814595,260,253
E14S,Spp1_TAM,Monocyte,0.2785295762287712,0.2785295442740556,1.0000001147264852,0.5503945426700284,260,1163
E14S,Spp1_TAM,Hypoxic_Tumor,0.9923340959471725,0.9434454099905996,1.0518193055357172,0.02763787056795552,260,226
E14S,Spp1_TAM,Tumor,1.02422930723418,1.0181472523154076,1.0059736495923757,0.8154662171382667,260,155
E14S,Spp1_TAM,hypoxic_core_dyn,1.662581731802843,1.6772056934856865,0.9912807583830395,0.9581029049871788,260,64
E14S,Spp1_TAM,exit_front,1.3678061355835616,1.2992447266789717,1.0527702037166171,0.2116749097691374,260,81
E14S,Spp1_TAM,enter_front,1.4310029700218416,1.2946067024110635,1.1053573006819408,0.11521857044962767,260,100
E14S,C1qc_TAM,Spp1_TAM,0.8188122515849864,0.8595527459034376,0.9526026826013677,0.028823059204276278,525,260
E14S,C1qc_TAM,C1qc_TAM,0.0,0.4619829474791599,0.0,1.5187902220439e-310,525,525
E14S,C1qc_TAM,Il1b_TAM,0.3824717463074426,0.3365385243212491,1.1364872627252238,0.42872107883830757,525,850
E14S,C1qc_TAM,Neutrophil,0.5491391651041041,0.5302033488003606,1.0357142525534546,0.3816045967655721,525,495
E14S,C1qc_TAM,CAF,3.862301113575494,3.641773543894012,1.0605549925121593,0.4611258460485068,525,10
E14S,C1qc_TAM,Stromal,2.1928054173765474,2.2112623826661286,0.9916531998037575,0.7424681051696109,525,30
E14S,C1qc_TAM,CD8_exh,0.9643716444893178,0.9289129590296138,1.0381722368226467,0.2662104643942669,525,198
E14S,C1qc_TAM,NK,0.8781336175734769,0.8565363443504335,1.0252146606101367,0.31216867050605235,525,253
E14S,C1qc_TAM,Monocyte,0.2866905783969794,0.27643631721477596,1.0370944790667156,0.9101126228489502,525,1163
E14S,C1qc_TAM,Hypoxic_Tumor,0.9728602611070537,0.9431247960871979,1.0315286642268566,0.08810981807951873,525,226
E14S,C1qc_TAM,Tumor,1.0883736466594618,1.0118365881499498,1.0756417186390275,0.3330561700573377,525,155
E14S,C1qc_TAM,hypoxic_core_dyn,1.762403867144366,1.6704153433184488,1.0550692522035703,0.26154351760077277,525,64
