source,target,hit_rate,null_mean,enrichment,p_perm,radius,sample
Il1bpos_TAM,entering_hypoxia,0.12588235294117647,0.12812549019607844,0.9824926542605289,0.9006622516556292,0.5159616291765426,E14S
Il1bpos_TAM,exiting_hypoxia,0.12823529411764706,0.1274588235294118,1.006091932804135,0.9668874172185431,0.5159616291765426,E14S
Resident_Macrophage,Monocyte,0.7884615384615384,0.7642307692307693,1.0317060895822847,0.2251655629139073,0.5159616291765426,E14S
Resident_Macrophage,Il1bpos_TAM,0.7026627218934911,0.6824161735700197,1.0296689162824977,0.2980132450331126,0.5159616291765426,E14S
Resident_Macrophage,C1qcpos_TAM,0.5710059171597633,0.5400591715976331,1.0573025090391148,0.17880794701986755,0.5159616291765426,E14S
Resident_Macrophage,Neutrophil,0.5118343195266272,0.5195167652859961,0.9852123236963494,0.6821192052980133,0.5159616291765426,E14S
Resident_Macrophage,Spp1pos_TAM,0.33136094674556216,0.3391913214990138,0.9769145781240914,0.7615894039735099,0.5159616291765426,E14S
Resident_Macrophage,NK,0.32840236686390534,0.33294871794871794,0.9863451911969433,0.8278145695364238,0.5159616291765426,E14S
Resident_Macrophage,CD8_exhausted,0.29289940828402367,0.2737278106508876,1.0700389105058365,0.304635761589404,0.5159616291765426,E14S
Resident_Macrophage,cDC,0.2411242603550296,0.2543984220907298,0.9478213676538997,0.5231788079470199,0.5159616291765426,E14S
Resident_Macrophage,mDC,0.22337278106508876,0.2419723865877712,0.9231333550701011,0.32450331125827814,0.5159616291765426,E14S
Resident_Macrophage,entering_hypoxia,0.10650887573964497,0.12760355029585801,0.8346858335265475,0.16556291390728478,0.5159616291765426,E14S
Resident_Macrophage,exiting_hypoxia,0.14940828402366865,0.12754437869822485,1.1714219438645328,0.25165562913907286,0.5159616291765426,E14S
C1qcpos_TAM,Monocyte,0.7676190476190476,0.7652825396825398,1.003053131118707,0.9403973509933775,0.5159616291765426,E14S
C1qcpos_TAM,Il1bpos_TAM,0.6304761904761905,0.6857269841269841,0.9194274180107778,0.006622516556291391,0.5159616291765426,E14S
C1qcpos_TAM,Resident_Macrophage,0.6476190476190476,0.6171301587301588,1.0494043087306324,0.17880794701986755,0.5159616291765426,E14S
C1qcpos_TAM,Neutrophil,0.4780952380952381,0.5205206349206349,0.9184943036276255,0.10596026490066225,0.5159616291765426,E14S
C1qcpos_TAM,Spp1pos_TAM,0.34476190476190477,0.34034285714285717,1.0129841056637563,0.8874172185430463,0.5159616291765426,E14S
C1qcpos_TAM,NK,0.30666666666666664,0.33141587301587305,0.9253228093030382,0.25165562913907286,0.5159616291765426,E14S
C1qcpos_TAM,CD8_exhausted,0.24761904761904763,0.2728888888888888,0.9073987901349468,0.2913907284768212,0.5159616291765426,E14S
C1qcpos_TAM,cDC,0.23047619047619047,0.25608888888888887,0.899985124212823,0.31125827814569534,0.5159616291765426,E14S
C1qcpos_TAM,mDC,0.21333333333333335,0.2448126984126984,0.8714144924529281,0.11258278145695365,0.5159616291765426,E14S
C1qcpos_TAM,entering_hypoxia,0.07809523809523809,0.12970158730158732,0.6021147444683767,0.006622516556291391,0.5159616291765426,E14S
C1qcpos_TAM,exiting_hypoxia,0.1219047619047619,0.1277206349206349,0.9544641081725991,0.7880794701986755,0.5159616291765426,E14S
Neutrophil,Monocyte,0.7232323232323232,0.7629225589225589,0.9479760622804385,0.039735099337748346,0.5159616291765426,E14S
Neutrophil,Il1bpos_TAM,0.6303030303030303,0.684996632996633,0.9201549320697586,0.019867549668874173,0.5159616291765426,E14S
