sample,query,anchor,median_dist,bg_median_dist,ratio_vs_bg,p_vs_bg,n_query,n_anchor
E15S,Neutrophil,Stromal,0.24765349057613018,0.2719684125582661,0.9105965220246791,0.0012076084105472615,1230,1133
E15S,Il1b_TAM,Monocyte,0.3347604228837635,0.3639683828251497,0.9197513813846361,0.008489826172188417,400,713
E14S,Il1b_TAM,NK,0.8040742001196473,0.8699148259544712,0.9243137099513351,0.0003406516153116902,850,253
E15S,Neutrophil,Tumor,0.2197597774229199,0.2353470769642357,0.9337688840567818,0.0032648052346521514,1230,1418
E15S,Neutrophil,CD8_exh,1.8883700520120854,2.00498549612781,0.9418372629922053,1.8156634353728583e-05,1230,35
E15S,Neutrophil,Spp1_TAM,0.43268209652805856,0.4582265276734848,0.9442537050940266,0.007394792679535962,1230,496
E15S,C1qc_TAM,CD8_exh,2.0615725964865925,1.9736500169186622,1.044548212101555,0.00019310374190773796,1141,35
E14S,Monocyte,NK,0.8969805840329865,0.8487419047562139,1.0568355103081994,0.0016246596653047213,1163,253
E15S,normoxic,CD8_exh,2.1244572010267264,1.9824196577853834,1.071648574853226,0.005854621945373003,263,35
E14S,C1qc_TAM,enter_front,1.3859947514841466,1.2924323264906887,1.072392513770919,0.0068245597879455985,525,100
E15S,entering,C1qc_TAM,0.29728181247222396,0.2743852049300919,1.0834469465945356,0.0033107190885223827,588,1141
E15S,C1qc_TAM,Monocyte,0.390764406070714,0.35930376990079443,1.0875599946491126,0.002283333267087737,1141,713
E15S,C1qc_TAM,NK,0.9590105066556086,0.8816200566573928,1.0877820886830056,0.00030840110007546417,1141,198
E14S,Neutrophil,Stromal,2.401458161887259,2.1862506648887328,1.098436789730824,0.00595179068137553,495,30
E14S,Neutrophil,Monocyte,0.3052316496038996,0.2743930314087428,1.1123884890109281,0.008633873269783288,495,1163
E14S,entering,Spp1_TAM,0.9601961937400973,0.850908471710259,1.1284365189245074,0.0029145342372860245,100,260
E15S,C1qc_TAM,Neutrophil,0.3012307657136682,0.26170638134781754,1.1510256806207613,8.36364238379115e-09,1141,1230
E15S,C1qc_TAM,Tumor,0.26140460342293415,0.226830088573162,1.152424729308433,9.595652372763264e-07,1141,1418
E15S,normoxic,Hypoxic_Tumor,0.4533232341283531,0.3907317738480167,1.1601903517185748,0.00978646400400015,263,601
