source,target,obs_frac,exp_frac,enrichment,log2_enrichment,n_source,n_target,p_perm,sample,label_space
cDC,CAF,0.043549265106151334,0.04477611940298507,0.9726002540373798,-0.04008112648737083,62,387,0.773067331670823,E15S,cell_type
cDC,NK,0.025040827436037017,0.022908712252690037,1.0930700582306463,0.12838587074708052,62,198,0.5586034912718204,E15S,cell_type
Neutrophil,C1qcpos_TAM,0.11692198851731926,0.13201434687029967,0.8856763775242684,-0.1751484546059842,1230,1141,0.0033222591362126247,E15S,hybrid_dynamics
Neutrophil,Stromal,0.12636390846507578,0.13108874233483744,0.9639569822274051,-0.05295932904619009,1230,1133,0.013289036544850499,E15S,hybrid_dynamics
Neutrophil,Resident_Macrophage,0.08141275067345106,0.08608122179798681,0.9457666721379536,-0.08044379131163577,1230,744,0.006644518272425249,E15S,hybrid_dynamics
Neutrophil,Monocyte,0.08228347527958423,0.0824945042230707,0.9974419030034312,-0.0036952823140565458,1230,713,0.867109634551495,E15S,hybrid_dynamics
Neutrophil,Spp1pos_TAM,0.05635220810318087,0.05738748119865787,0.9819599488624844,-0.026263912257604227,1230,496,0.4318936877076412,E15S,hybrid_dynamics
Neutrophil,exiting_hypoxia,0.05450191831514789,0.05310656022214509,1.026274684091118,0.037416922307658834,1230,459,0.2724252491694352,E15S,hybrid_dynamics
Neutrophil,Il1bpos_TAM,0.04103289706402547,0.04628022677311119,0.8866183233109304,-0.17361491659730127,1230,400,0.0033222591362126247,E15S,hybrid_dynamics
Neutrophil,entering_hypoxia,0.04606677369323284,0.04477611940298507,1.0288246124822,0.04099706165999044,1230,387,0.23588039867109634,E15S,hybrid_dynamics
Neutrophil,CAF,0.04590351282958287,0.04477611940298507,1.0251784531940173,0.03587506205191439,1230,387,0.33554817275747506,E15S,hybrid_dynamics
Neutrophil,transitional,0.030339310494952518,0.031007751937984496,0.9784427634622187,-0.03144063574134634,1230,268,0.4119601328903654,E15S,hybrid_dynamics
Neutrophil,normoxic_stable,0.02938695545699437,0.030429249103320608,0.9657469810448758,-0.05028283233271237,1230,263,0.2757475083056478,E15S,hybrid_dynamics
Neutrophil,persistent_hypoxia,0.03243449157846045,0.03031354853638783,1.0699668347810445,0.09756607883347025,1230,262,0.019933554817275746,E15S,hybrid_dynamics
Neutrophil,entering_deep_hypoxia,0.028244129411444586,0.023255813953488372,1.2144975646921172,0.28035959708771124,1230,201,0.0033222591362126247,E15S,hybrid_dynamics
Neutrophil,NK,0.02190416587303747,0.022908712252690037,0.9561500284881962,-0.06469108716887122,1230,198,0.23920265780730898,E15S,hybrid_dynamics
Neutrophil,reverted_stable,0.01480231830426383,0.013884068031933356,1.0661369758646024,0.09239280555058005,1230,120,0.15282392026578073,E15S,hybrid_dynamics
Neutrophil,cDC,0.006013441811107181,0.007173435149832234,0.8382931866677317,-0.2544731910866846,1230,62,0.006644518272425249,E15S,hybrid_dynamics
Neutrophil,B,0.003673369432124296,0.004512322110378341,0.8140751795346228,-0.2967660619026584,1230,39,0.019933554817275746,E15S,hybrid_dynamics
