gene,lfc_exit_minus_enter,padj,frac_ex,frac_en
Cox8a,0.3343573808670044,7.575713431204996e-35,0.9740518962075848,0.9193857965451055
Gstp1,0.43756377696990967,7.98512308811437e-35,0.8982035928143712,0.6698656429942419
Fundc2,0.3821742534637451,8.861154882041861e-35,0.9041916167664671,0.7005758157389635
Ssr2,0.38818252086639404,1.152877348863407e-34,0.9261477045908184,0.8042226487523992
Pfn1,0.28069233894348145,1.2535537431698106e-34,0.9820359281437125,0.9500959692898272
Ndufb10,0.3659944534301758,2.0218295241219315e-34,0.9341317365269461,0.8157389635316699
Atp5g3,0.365434467792511,2.2806936361617495e-34,0.9281437125748503,0.7927063339731286
Nme2,0.27947354316711426,2.3362354692563186e-34,0.9780439121756487,0.9520153550863724
Pdia6,0.3257613182067871,2.388699005725486e-34,0.9540918163672655,0.8809980806142035
Rhox5,0.2572932243347168,2.854874369641696e-34,0.9640718562874252,0.9424184261036468
Eef1g,0.2835826873779297,3.013212486778181e-34,0.9800399201596807,0.9558541266794626
Arih1,-0.3305121660232544,3.3937528906770657e-34,0.8682634730538922,0.9193857965451055
Eif3k,0.33987462520599365,3.500968804919267e-34,0.93812375249501,0.8502879078694817
Nsd3,-0.286965012550354,3.649160965127775e-34,0.9141716566866267,0.9654510556621881
Eif3i,0.38181912899017334,3.904754199538455e-34,0.9341317365269461,0.8426103646833013
Snrpd3,0.3514665365219116,4.997142040798304e-34,0.9580838323353293,0.8733205374280231
Rps27,0.3413635492324829,5.351963783968352e-34,0.9840319361277445,0.9289827255278311
Cox7c,0.34262537956237793,7.782574210788028e-34,0.9560878243512974,0.8809980806142035
Hddc2,0.3568592071533203,9.608351342801422e-34,0.9021956087824351,0.6794625719769674
Tmem256,0.3815935254096985,9.852144046980843e-34,0.9161676646706587,0.7178502879078695
Nudt21,0.40138572454452515,1.1025416793140963e-33,0.9301397205588823,0.746641074856046
Gm20186,-0.43349123001098633,1.31212860963529e-33,0.7744510978043913,0.8848368522072937
Spag9,-0.31673967838287354,1.7235641644923854e-33,0.9121756487025948,0.9788867562380038
Txn2,0.38409966230392456,3.2842044510255935e-33,0.9161676646706587,0.7216890595009597
Ndufv2,0.3898646831512451,3.362909839315755e-33,0.9181636726546906,0.7063339731285988
Qdpr,0.353054404258728,3.563670295804974e-33,0.872255489021956,0.5527831094049904
Vps29,0.34637999534606934,3.799330428372237e-33,0.9261477045908184,0.7773512476007678
Tut7,-0.3280998468399048,4.038723042473463e-33,0.8662674650698603,0.9347408829174664
Suclg1,0.35656166076660156,4.763907020345e-33,0.9021956087824351,0.7005758157389635
Mrps14,0.3811451196670532,4.898002398137415e-33,0.906187624750499,0.6717850287907869
Bcap31,0.3823585510253906,4.934464120238317e-33,0.8962075848303394,0.7523992322456814
Tmco1,0.3459349274635315,5.34239960603156e-33,0.9021956087824351,0.6948176583493282
Rtraf,0.3833003044128418,5.549322032458962e-33,0.9221556886227545,0.7677543186180422
Egr1,-0.5716121196746826,9.089180185640816e-33,0.592814371257485,0.7869481765834933
Rpl39,0.26895880699157715,9.232099553262279e-33,0.9840319361277445,0.9520153550863724
Timp1,0.4426279067993164,9.971976109976394e-33,0.906187624750499,0.7159309021113244
Mrpl34,0.40714460611343384,1.1061486992561793e-32,0.9121756487025948,0.7005758157389635
Atp6v0e,0.35066837072372437,1.4085662541867008e-32,0.9261477045908184,0.7888675623800384
Atp6v1f,0.35155200958251953,1.760940483526775e-32,0.9301397205588823,0.7946257197696737
Lamtor2,0.36001384258270264,1.8444163353366163e-32,0.9281437125748503,0.783109404990403
Uqcrfs1,0.3982200026512146,2.398168291560611e-32,0.9201596806387226,0.6717850287907869
mt-Nd5,-0.29587066173553467,2.7730452422946436e-32,0.9461077844311377,0.980806142034549
Eno1,0.33030784130096436,3.3323270148435224e-32,0.9800399201596807,0.9136276391554703
Vdac2,0.3616066575050354,4.298747485739242e-32,0.9401197604790419,0.8061420345489443
Atp5md,0.3428630828857422,7.526955982734884e-32,0.9401197604790419,0.8445297504798465
Anapc11,0.33289045095443726,7.950650775292282e-32,0.9261477045908184,0.8099808061420346
Lamtor5,0.3388219177722931,1.3132834761852078e-31,0.8822355289421158,0.5873320537428023
Eif3l,0.3845718502998352,1.3689956321399331e-31,0.9121756487025948,0.6602687140115163
Snrpe,0.36267173290252686,1.6676032080478248e-31,0.9520958083832335,0.8579654510556622
Yif1b,0.35413169860839844,1.7753545395084861e-31,0.8782435129740519,0.6449136276391555
Naa38,0.38879209756851196,1.982368744216792e-31,0.9141716566866267,0.7140115163147792
Snrpc,0.36059439182281494,3.012573794529585e-31,0.9161676646706587,0.744721689059501
Camk1d,-0.354534387588501,3.1450690755666387e-31,0.9800399201596807,0.982725527831094
Cnih4,0.4049246907234192,3.6982947517074184e-31,0.9321357285429142,0.7927063339731286
Sec61g,0.3426109552383423,3.748730611654483e-31,0.9640718562874252,0.8829174664107485
Tmem59,0.35472071170806885,4.209588889284023e-31,0.8982035928143712,0.6717850287907869
Tmed10,0.3001241087913513,4.400806751220301e-31,0.9301397205588823,0.8406909788867563
Ifitm2,0.34459197521209717,4.517177113271367e-31,0.9640718562874252,0.8752399232245681
Kdelr2,0.32563650608062744,4.719853510738764e-31,0.9301397205588823,0.7984644913627639
Pdia3,0.27487242221832275,5.024088308051903e-31,0.9580838323353293,0.927063339731286
Cox7a2,0.36391329765319824,6.228551876497074e-31,0.9461077844311377,0.8349328214971209
Wsb1,-0.34480732679367065,6.331503478859876e-31,0.8542914171656687,0.9040307101727447
Tomm20,0.3011106252670288,7.940948738250926e-31,0.9660678642714571,0.9193857965451055
Hsph1,-0.3422337770462036,9.012148220037108e-31,0.9221556886227545,0.9558541266794626
Uqcrc2,0.3497247099876404,9.960441268314754e-31,0.9001996007984032,0.6737044145873321
Ankrd17,-0.3158649802207947,1.0540037801766518e-30,0.8942115768463074,0.9616122840690979
Raly,0.3294260501861572,1.0862382433596324e-30,0.9520958083832335,0.8406909788867563
Ier3,-0.37814295291900635,1.0912612933493909e-30,0.9281437125748503,0.9328214971209213
Gnb2,0.27683961391448975,1.0997068588131876e-30,0.9540918163672655,0.8771593090211133
Grcc10,0.4020874500274658,1.1238961991985135e-30,0.9141716566866267,0.727447216890595
Psme2,0.3294771909713745,1.275097257350604e-30,0.9540918163672655,0.8790786948176583
Cst3,0.28541767597198486,1.2942975507086172e-30,0.9660678642714571,0.9251439539347409
Myl6,0.29550087451934814,2.3132342551468003e-30,0.9720558882235529,0.9078694817658349
Eef1d,0.35062098503112793,2.62343065631919e-30,0.9560878243512974,0.8694817658349329
Nfkb1,-0.3482443690299988,3.8082142293700234e-30,0.8762475049900199,0.944337811900192
Emd,0.3545340299606323,4.3959310205117284e-30,0.9261477045908184,0.6871401151631478
Smg1,-0.33705538511276245,4.50487046151501e-30,0.846307385229541,0.9328214971209213
Ndufb6,0.3507033586502075,4.7484069050426415e-30,0.9001996007984032,0.7351247600767754
Cdc42,0.30979299545288086,5.5748845766534826e-30,0.9620758483033932,0.8829174664107485
Lars2,-0.40899884700775146,5.855148578952114e-30,0.9700598802395209,0.9750479846449136
Flnb,-0.37839949131011963,8.388786053503236e-30,0.844311377245509,0.9040307101727447
Mbnl2,-0.3046414852142334,8.47285647282918e-30,0.9301397205588823,0.9616122840690979
Sin3b,0.32436245679855347,9.848910742126961e-30,0.9241516966067864,0.8080614203454894
Ndufab1,0.35913968086242676,1.0947638127861222e-29,0.9301397205588823,0.7715930902111324
Hsd17b10,0.37097805738449097,1.3797314250328917e-29,0.9181636726546906,0.6890595009596929
Eif3h,0.3266652822494507,1.4063539711301714e-29,0.9421157684630739,0.8522072936660269
Tomm22,0.4045359492301941,1.4873057906917708e-29,0.9221556886227545,0.6852207293666027
Rere,-0.3363877534866333,1.6247003317195336e-29,0.8682634730538922,0.9500959692898272
Tex261,0.3215796947479248,1.7434950412341308e-29,0.9101796407185628,0.7351247600767754
Adamts1,-0.42642539739608765,2.0143971665615182e-29,0.5289421157684631,0.7351247600767754
Cops9,0.3536289930343628,2.186882135530651e-29,0.9001996007984032,0.6468330134357005
Rps17,0.2652902603149414,2.2344483204969288e-29,0.9860279441117764,0.9558541266794626
Gm49774,-0.35026514530181885,2.2704004986892268e-29,0.5209580838323353,0.7216890595009597
Adh5,0.3558468222618103,2.7392536224988586e-29,0.906187624750499,0.7370441458733206
Rhoc,0.3592248558998108,2.820966813546022e-29,0.9181636726546906,0.7312859884836852
Ndufs5,0.34178900718688965,2.8906585352352667e-29,0.9281437125748503,0.7735124760076776
Txndc17,0.33968889713287354,4.4687736593631493e-29,0.9441117764471058,0.8138195777351248
Sdhd,0.3304271399974823,5.685118897614489e-29,0.8642714570858283,0.5585412667946257
Psme1,0.30964648723602295,7.166839119464575e-29,0.9780439121756487,0.9021113243761996
Eif3e,0.33417266607284546,8.206980847156112e-29,0.9221556886227545,0.7927063339731286
Zfand5,-0.2856365442276001,9.179566210903e-29,0.9201596806387226,0.9596928982725528
Csnk2b,0.33673691749572754,1.132579670530198e-28,0.9281437125748503,0.7715930902111324
Coa3,0.340141236782074,1.192585423656838e-28,0.8942115768463074,0.6391554702495201
Nktr,-0.29007017612457275,1.2726839829027748e-28,0.8922155688622755,0.9539347408829175
Ubr2,-0.29005104303359985,1.3587194225818178e-28,0.8782435129740519,0.9520153550863724
Eif1ax,0.30416083335876465,1.6309710709968092e-28,0.9481037924151696,0.8752399232245681
Vdac1,0.2763763666152954,1.6430739079226644e-28,0.9720558882235529,0.9155470249520153
Junb,-0.3304891586303711,1.726926671757177e-28,0.9141716566866267,0.9309021113243762
Fmr1nb,0.31907033920288086,1.7614998657801073e-28,0.9041916167664671,0.7523992322456814
Rpl29,0.258245587348938,1.7671589282174327e-28,0.9860279441117764,0.9596928982725528
Serpinb6a,0.3508440852165222,1.840235369735454e-28,0.9321357285429142,0.8023032629558541
Sec13,0.319574236869812,2.1610916042278815e-28,0.8862275449101796,0.6775431861804223
Glod4,0.3171004354953766,2.2434547338959332e-28,0.8922155688622755,0.6333973128598849
