gene,lfc_a_minus_b,mean_a,mean_b,frac_a,frac_b,pval,padj
Ifi206,0.5559105277061462,0.9728705286979675,0.4169600009918213,0.5373737373737374,0.2689969604863222,4.445015998426497e-21,1.7780063993705986e-17
Ly6i,0.4870108366012573,0.7388113141059875,0.2518004775047302,0.45454545454545453,0.18161094224924013,5.2335194609416036e-21,2.0934077843766414e-17
Cd52,0.5288782119750977,2.765667676925659,2.2367894649505615,0.9454545454545454,0.8647416413373861,1.1456822322998214e-20,4.5827289291992855e-17
Ctsb,0.5790659189224243,2.2184441089630127,1.6393781900405884,0.8888888888888888,0.7530395136778115,1.1723471666023416e-20,4.6893886664093666e-17
Cd274,-0.49470198154449463,1.592896819114685,2.0875988006591797,0.7797979797979798,0.8381458966565349,1.6030107410552308e-20,6.412042964220923e-17
Ets2,-0.4800788164138794,1.5071107149124146,1.987189531326294,0.8303030303030303,0.9072948328267477,4.5679133827899545e-20,1.8271653531159818e-16
Apoe,0.6512290835380554,1.2710386514663696,0.6198095679283142,0.6363636363636364,0.36854103343465044,9.913881253530102e-20,3.965552501412041e-16
Ms4a6c,0.6349104642868042,1.099460244178772,0.46454980969429016,0.4505050505050505,0.21048632218844984,1.120622435459776e-19,4.482489741839104e-16
Zbp1,0.5635244846343994,1.7792888879776,1.2157644033432007,0.8484848484848485,0.6702127659574468,2.2398671545083155e-19,8.959468618033262e-16
G0s2,-0.9272456169128418,1.5344734191894531,2.461719036102295,0.6606060606060606,0.8100303951367781,6.538545508229845e-19,2.615418203291938e-15
Pfn1,0.4840461015701294,2.2835960388183594,1.79954993724823,0.9111111111111111,0.8419452887537994,1.1469732969870085e-18,4.587893187948034e-15
Txnrd1,-0.4684961140155792,0.44463613629341125,0.9131322503089905,0.36767676767676766,0.5630699088145896,1.5026809875602464e-18,6.010723950240986e-15
Oas1a,0.4221135973930359,0.975950300693512,0.5538367033004761,0.6444444444444445,0.42857142857142855,1.6730781170692854e-18,6.692312468277142e-15
Ms4a4c,0.6486713886260986,1.0616989135742188,0.4130275547504425,0.45656565656565656,0.20592705167173253,2.182334114148934e-18,8.729336456595736e-15
Xaf1,0.5297988653182983,1.6951510906219482,1.16535222530365,0.7858585858585858,0.6413373860182371,2.6583988393213335e-18,1.0633595357285335e-14
Fcgr2b,0.39797163009643555,0.6937483549118042,0.29577672481536865,0.44242424242424244,0.22492401215805471,5.509168476626487e-18,2.203667390650595e-14
Clec4a1,0.31588536500930786,0.4779611825942993,0.16207580268383026,0.36767676767676766,0.14361702127659576,5.5716298913571375e-18,2.228651956542855e-14
1600014C10Rik,0.41994166374206543,1.0816526412963867,0.6617109775543213,0.7151515151515152,0.48936170212765956,9.40341452790072e-18,3.761365811160288e-14
Oas1g,0.2701658010482788,0.4412159025669098,0.17105010151863098,0.4,0.16337386018237082,1.3246456628187158e-17,5.298582651274863e-14
Grn,0.4525482654571533,0.9801279902458191,0.5275797247886658,0.6181818181818182,0.3890577507598784,1.401738007480785e-17,5.60695202992314e-14
