gene,lfc_a_minus_b,pval,frac_a,frac_b,mean_a,mean_b,padj
Vcam1,-0.3351101577281952,0.23652283447400702,0.8056112224448898,0.6262458471760798,0.5123505592346191,0.6120406985282898,0.27589134525003406
Tab2,-0.3895663022994995,0.2365768285519042,0.7675350701402806,0.6428571428571429,0.27423596382141113,0.34595414996147156,0.27589134525003406
Upf3b,0.025623708963394165,0.23674674406573448,0.8957915831663327,0.7624584717607974,0.6197137832641602,0.6115491390228271,0.27600902834827684
Eps15,-0.06721556186676025,0.237576988281191,0.8797595190380761,0.7342192691029901,0.4822642505168915,0.5003477334976196,0.27689625673798485
Ptprm,-0.540636420249939,0.23788178932071513,0.5270541082164328,0.41362126245847175,0.16200482845306396,0.2277863770723343,0.27717074199908553
Iigp1,-0.10832273960113525,0.24206706034248116,0.6312625250501002,0.5398671096345515,0.3340041935443878,0.35590338706970215,0.2819651256173339
Kif5b,0.10783207416534424,0.24334584077676547,0.9519038076152304,0.8770764119601329,1.1115552186965942,1.0620276927947998,0.28337215810977057
Ncln,-0.036339402198791504,0.24380177856964214,0.8577154308617234,0.7093023255813954,0.4341289699077606,0.44307219982147217,0.2838204639925985
Apoe,0.10967779159545898,0.24411905019502,0.8997995991983968,0.7192691029900332,0.48705053329467773,0.4584193527698517,0.2841071285365377
Irf7,-0.06053757667541504,0.24429853006737523,0.8597194388777555,0.6627906976744186,0.41379162669181824,0.4282088577747345,0.28423331014237957
Nln,0.08253917098045349,0.2453660838349886,0.905811623246493,0.7541528239202658,0.6012578010559082,0.5758095979690552,0.2853923627042612
Vkorc1l1,-0.40926265716552734,0.24674708357231157,0.7855711422845691,0.6694352159468439,0.3156183660030365,0.40067535638809204,0.28691521345617627
Usp46,-0.36622607707977295,0.24738273371848163,0.8096192384769539,0.6827242524916943,0.3236129879951477,0.40047523379325867,0.2875707453862036
Sumo1,0.11347988247871399,0.2481720293899855,0.9218436873747495,0.7940199335548173,0.7499336004257202,0.7092052698135376,0.28840445019173216
Usp7,-0.17622321844100952,0.2484905650302044,0.8857715430861723,0.7475083056478405,0.4799107015132904,0.5282447934150696,0.2886907522860347
Iars2,-0.2312864065170288,0.24897913241232617,0.8577154308617234,0.7275747508305648,0.418715238571167,0.4764993488788605,0.2891743698168713
Znhit6,0.09647244960069656,0.2495234994534471,0.8877755511022044,0.7524916943521595,0.6517950892448425,0.6203292012214661,0.28972249573694875
Ifi27l2a,0.037297509610652924,0.25030678894489145,0.9158316633266533,0.7757475083056479,0.7429124712944031,0.7294420003890991,0.29048207521136843
Mettl16,0.05577361583709717,0.25032292831339675,0.8697394789579158,0.7093023255813954,0.5290741920471191,0.513371467590332,0.29048207521136843
Nup155,-0.4203052520751953,0.2506561463884074,0.7374749498997996,0.6146179401993356,0.25290459394454956,0.3257608115673065,0.29078439256195754
Rrp8,-0.05531013011932373,0.2507832734081229,0.8376753507014028,0.6627906976744186,0.3811101019382477,0.39341914653778076,0.29084751917439594
Morf4l2,-0.0012206435203552246,0.2517812298067833,0.9298597194388778,0.8305647840531561,0.8928672671318054,0.8933669328689575,0.2919202664426473
Grem1,0.034859657287597656,0.251976497875562,0.24649298597194388,0.20930232558139536,0.18404503166675568,0.18002380430698395,0.2920620085488983
Cdt1,0.02187204360961914,0.2525472150875291,0.7935871743486974,0.6661129568106312,0.47528794407844543,0.469579815864563,0.29263871968427474
P4ha1,-0.1454506516456604,0.25470177932044824,0.9138276553106213,0.8189368770764119,0.7634515762329102,0.8185445070266724,0.2949952813158881
Hp1bp3,-0.00150337815284729,0.2547284254162694,0.9418837675350702,0.8305647840531561,0.851427435874939,0.8520249128341675,0.2949952813158881
Uhrf1,-0.030498862266540527,0.25483254900988783,0.717434869739479,0.6013289036544851,0.37206926941871643,0.3786853849887848,0.29503044747888607
Prc1,-0.3798579275608063,0.25586524510600683,0.781563126252505,0.6411960132890365,0.4559773802757263,0.5606040358543396,0.2961403299838042
Sae1,0.05046132206916809,0.25692911021048737,0.9038076152304609,0.7740863787375415,0.6508585810661316,0.6342779994010925,0.29728563518714185
Nckap5,-0.5847556591033936,0.257046537491885,0.36472945891783565,0.29069767441860467,0.09995211660861969,0.14639586210250854,0.29733549738795256
Xrcc4,-0.23214322328567505,0.25805923416529897,0.8296593186372746,0.6445182724252492,0.3650798201560974,0.4170994162559509,0.29842062349268456
