gene,lfc_rev_minus_norm,padj,frac_rev,frac_norm
Lactb2,-0.6458970904350281,1.749436664588637e-30,0.0945945945945946,0.8908450704225352
Stxbp1,-0.5421552062034607,1.9421489839301648e-30,0.060810810810810814,0.8450704225352113
Rngtt,-0.571172833442688,2.0821411220487505e-30,0.04054054054054054,0.7992957746478874
ENSMUSG00000121399,-0.8636834621429443,3.0282767540435883e-30,0.13513513513513514,0.9401408450704225
Phf14,-0.707666277885437,3.616117233478113e-30,0.11486486486486487,0.9190140845070423
Xrcc4,-0.6391190886497498,3.68841600163039e-30,0.06756756756756757,0.8169014084507042
Pwwp2a,-0.48901692032814026,3.7140349927134584e-30,0.07432432432432433,0.8450704225352113
Ptpn4,-0.584983229637146,3.928696279260736e-30,0.07432432432432433,0.8204225352112676
Stam2,-0.4907975196838379,4.1942692478693664e-30,0.04054054054054054,0.7852112676056338
Zfp451,-0.5701661705970764,4.4993235670887475e-30,0.07432432432432433,0.8908450704225352
Pbx3,-0.9855226278305054,4.674185500908476e-30,0.13513513513513514,0.954225352112676
Zfp800,-0.4360401928424835,5.287651596835184e-30,0.06756756756756757,0.8028169014084507
Fnip1,-0.7976169586181641,5.538742495741014e-30,0.12162162162162163,0.8943661971830986
Pcolce,-0.9968326091766357,6.1840209872514485e-30,0.12162162162162163,0.9119718309859155
Phf12,-0.5857716798782349,6.434510804946888e-30,0.10135135135135136,0.9225352112676056
Cntln,-0.5119674205780029,6.599674430740252e-30,0.05405405405405406,0.8098591549295775
Ddx60,-1.1046777963638306,7.629693368194164e-30,0.14189189189189189,0.9436619718309859
Simc1,-0.5591623187065125,7.831473076801122e-30,0.05405405405405406,0.8028169014084507
Arsb,-0.48058295249938965,1.0113398855868991e-29,0.0472972972972973,0.7605633802816901
Tasor2,-0.7140552401542664,1.0374862242518588e-29,0.08783783783783784,0.8908450704225352
Herc2,-0.6377875804901123,1.1369847715681664e-29,0.10810810810810811,0.9014084507042254
Kitl,-0.7831559181213379,1.186576691064462e-29,0.060810810810810814,0.8169014084507042
Gm4951,-0.6864732503890991,1.3263985954436e-29,0.033783783783783786,0.75
Acbd5,-0.5418061017990112,1.422172761414814e-29,0.05405405405405406,0.8415492957746479
Zfp131,-0.6840334534645081,1.4250981490883223e-29,0.10810810810810811,0.897887323943662
Tsc22d2,-0.505523681640625,1.6258837021831012e-29,0.0472972972972973,0.7676056338028169
Lgals9,-0.5777168273925781,1.852402778266403e-29,0.06756756756756757,0.852112676056338
9930111J21Rik2,-0.6712207794189453,1.969741127350643e-29,0.06756756756756757,0.8169014084507042
Dnttip1,-0.49255967140197754,2.0785297618182676e-29,0.060810810810810814,0.823943661971831
Chmp3,-0.4726671874523163,2.0999609489826873e-29,0.060810810810810814,0.7992957746478874
Uqcc1,-0.5543007850646973,2.1554864981530254e-29,0.07432432432432433,0.852112676056338
Gng12,-0.7640957832336426,2.2471802581752612e-29,0.08783783783783784,0.9119718309859155
Atf2,-0.5916406512260437,2.2818831167311887e-29,0.06756756756756757,0.8450704225352113
Tor1aip2,-0.8202059268951416,2.4261879183252183e-29,0.11486486486486487,0.9401408450704225
Ap3b1,-0.9554239511489868,2.6464855639773855e-29,0.1554054054054054,0.9683098591549296
Ralgapb,-0.6344729661941528,2.6479386790939326e-29,0.0945945945945946,0.8873239436619719
Tbc1d32,-0.5243809819221497,2.688496992157015e-29,0.05405405405405406,0.7922535211267606
Casp4,-0.669114887714386,2.7413758945583123e-29,0.08783783783783784,0.8556338028169014
Trmt1,-0.5194714069366455,3.201388852217518e-29,0.06756756756756757,0.8450704225352113
Desi2,-0.6300055980682373,3.319568600075909e-29,0.10135135135135136,0.8873239436619719
Wasl,-0.5889333486557007,3.3239349310363046e-29,0.0945945945945946,0.8697183098591549
Abcc1,-0.538611114025116,3.540737697376048e-29,0.0945945945945946,0.8661971830985915
Ints3,-0.4158649444580078,3.7572299678854134e-29,0.06756756756756757,0.778169014084507
Meis2,-0.9990313649177551,4.1080056081556905e-29,0.14864864864864866,0.9330985915492958
Ahcyl1,-0.5177806615829468,4.197691267244152e-29,0.06756756756756757,0.8274647887323944
Rab22a,-0.6562982797622681,4.4483237789306045e-29,0.08783783783783784,0.9119718309859155
Dlg1,-0.9488018751144409,4.4508938945539526e-29,0.16216216216216217,0.9753521126760564
Zc3h7a,-0.6438270807266235,4.4612058597861443e-29,0.12162162162162163,0.9119718309859155
Rab14,-0.7622114419937134,4.674259405110823e-29,0.08783783783783784,0.8943661971830986
Aak1,-0.7480771541595459,4.722851312126756e-29,0.10135135135135136,0.9049295774647887
Aopep,-0.7154467105865479,4.904326101606427e-29,0.07432432432432433,0.8626760563380281
Cul3,-0.6519216895103455,5.0370647840316597e-29,0.10810810810810811,0.8873239436619719
Sarnp,-0.7560471892356873,5.60621549263842e-29,0.10810810810810811,0.9190140845070423
Rlim,-0.6064226627349854,5.758072839448039e-29,0.08783783783783784,0.8732394366197183
Erbin,-0.7191753387451172,5.887877585265403e-29,0.10810810810810811,0.8943661971830986
Tbcd,-0.6307950019836426,5.910409802512569e-29,0.0945945945945946,0.8838028169014085
Tdrd7,-0.5083768367767334,6.165105569633192e-29,0.05405405405405406,0.8133802816901409
Itch,-0.7699212431907654,6.513462869798185e-29,0.11486486486486487,0.9295774647887324
Pik3c2a,-0.478180855512619,6.650607161192731e-29,0.07432432432432433,0.8274647887323944
Tasp1,-0.731133222579956,7.47345099402557e-29,0.10135135135135136,0.9014084507042254
Ppp6r3,-0.5311533808708191,7.550713277157293e-29,0.0945945945945946,0.8732394366197183
Cstf3,-0.640334963798523,7.761092333682814e-29,0.08783783783783784,0.8661971830985915
Oas2,-0.657465934753418,7.896708750885397e-29,0.08108108108108109,0.8626760563380281
Ankrd28,-0.6797330975532532,8.620126651401614e-29,0.08108108108108109,0.8802816901408451
Sema3a,-1.6258316040039062,9.173495173058487e-29,0.20270270270270271,0.9507042253521126
Rorb,-0.8010659217834473,9.68244316563335e-29,0.08108108108108109,0.8345070422535211
Mbtps2,-0.5534334778785706,1.0468170814723518e-28,0.08108108108108109,0.8415492957746479
Ccnl1,-0.6753174662590027,1.0973242554302904e-28,0.10135135135135136,0.9049295774647887
Apc,-0.5935355424880981,1.1588748405269717e-28,0.08783783783783784,0.8873239436619719
Fbxo11,-0.6490033864974976,1.167528646257164e-28,0.12162162162162163,0.9225352112676056
Fto,-0.961171567440033,1.1841711774616403e-28,0.14864864864864866,0.9612676056338029
Tia1,-0.4470335841178894,1.2391412138808498e-28,0.060810810810810814,0.7816901408450704
Mark3,-0.5723654627799988,1.3040298960327403e-28,0.10810810810810811,0.9190140845070423
Agtpbp1,-0.5312138199806213,1.3335045944572169e-28,0.05405405405405406,0.8133802816901409
Slc7a5,-0.805479109287262,1.420652742427046e-28,0.11486486486486487,0.8943661971830986
Ubap2,-0.8024327754974365,1.4218346876947397e-28,0.13513513513513514,0.9366197183098591
Ttc17,-0.4038448929786682,1.4459733328976585e-28,0.04054054054054054,0.7253521126760564
Atp6v1a,-0.48435911536216736,1.489827938526166e-28,0.0472972972972973,0.7711267605633803
Cisd2,-0.5642918944358826,1.610814295312129e-28,0.08783783783783784,0.8450704225352113
Apol9a,-0.5176132321357727,1.8156353696651797e-28,0.060810810810810814,0.7746478873239436
Ipo7,-0.7020217776298523,1.8190600180159506e-28,0.12162162162162163,0.9225352112676056
Pds5a,-0.8466973900794983,1.8374575195976764e-28,0.13513513513513514,0.9436619718309859
Cnot4,-0.8762116432189941,1.8509550894037147e-28,0.14864864864864866,0.9753521126760564
Chuk,-0.5176509022712708,1.9070501897395696e-28,0.05405405405405406,0.8345070422535211
Foxn2,-0.48019540309906006,1.9182736349171265e-28,0.06756756756756757,0.7992957746478874
Dnajc5,-0.708662211894989,2.031097101701495e-28,0.12162162162162163,0.9366197183098591
Slit2,-1.357107400894165,2.2830916365909033e-28,0.18243243243243243,0.9330985915492958
Ptprk,-0.7656159400939941,2.5754167333775868e-28,0.08108108108108109,0.8485915492957746
Gpatch2,-0.4694599509239197,2.7504955417305326e-28,0.06756756756756757,0.8274647887323944
Max,-0.4225470721721649,2.7719241371298077e-28,0.05405405405405406,0.778169014084507
Ppp1r2,-0.6592344045639038,2.7999745873158076e-28,0.0945945945945946,0.8767605633802817
Wdr26,-0.6757111549377441,2.965269177894395e-28,0.10810810810810811,0.9295774647887324
Sec24b,-0.8132967352867126,2.9919049117172764e-28,0.14864864864864866,0.9612676056338029
Exosc1,-0.5976063013076782,3.0829968129361787e-28,0.07432432432432433,0.8204225352112676
Gli3,-0.9244142770767212,3.0868057592920474e-28,0.1554054054054054,0.971830985915493
Slc23a2,-0.7523944973945618,3.353808371022874e-28,0.10810810810810811,0.8556338028169014
Ints6,-0.6469810605049133,3.7785473062381207e-28,0.08783783783783784,0.8485915492957746
Acaca,-0.8813412189483643,3.839703304654306e-28,0.12837837837837837,0.9330985915492958
Klf6,-0.873849630355835,3.9060648086857156e-28,0.11486486486486487,0.8802816901408451
Metap1d,-0.5239831805229187,3.9465965312652928e-28,0.06756756756756757,0.8274647887323944
Pam,-0.9360948204994202,3.9607032150295227e-28,0.16216216216216217,0.9647887323943662
Lats1,-0.3785724341869354,4.083392404932434e-28,0.0472972972972973,0.7429577464788732
Yme1l1,-0.5561268329620361,4.415014749256574e-28,0.06756756756756757,0.8415492957746479
Rnps1,-0.858428955078125,4.434169181733222e-28,0.13513513513513514,0.8908450704225352
Atp6v1h,-0.46441394090652466,4.902089747449294e-28,0.060810810810810814,0.7992957746478874
R3hdm1,-0.8152836561203003,5.214646372069824e-28,0.17567567567567569,0.9436619718309859
Plcb4,-0.754610538482666,5.598249935886752e-28,0.0945945945945946,0.8697183098591549
Mast2,-0.6958853602409363,5.853822880961579e-28,0.10810810810810811,0.9084507042253521
Xrn1,-0.6951788067817688,6.12113704608045e-28,0.12162162162162163,0.9049295774647887
Fbxl17,-0.9233317375183105,6.571851667174073e-28,0.13513513513513514,0.9401408450704225
Lrp6,-0.47395893931388855,6.580406721482452e-28,0.060810810810810814,0.8098591549295775
Stag2,-0.6914588809013367,6.808201752827674e-28,0.14864864864864866,0.9436619718309859
Laptm4a,-0.586851179599762,6.887241575982351e-28,0.08108108108108109,0.8556338028169014
Stt3b,-0.4718484878540039,7.246779792057538e-28,0.05405405405405406,0.7852112676056338
Blvrb,-0.5919061303138733,7.312631940125889e-28,0.0472972972972973,0.7746478873239436
Cyld,-0.5027496218681335,7.94991637139473e-28,0.06756756756756757,0.8169014084507042
Rb1cc1,-0.5478598475456238,8.11701673303168e-28,0.08783783783783784,0.8274647887323944
Npat,-0.4802241027355194,8.189944991388221e-28,0.060810810810810814,0.8169014084507042
Washc4,-0.6173011064529419,8.404678484581681e-28,0.08783783783783784,0.8450704225352113
Eif1a,-0.6373180747032166,8.751574832740282e-28,0.08783783783783784,0.8838028169014085
Plgrkt,-0.4646199345588684,8.974002912198925e-28,0.033783783783783786,0.7359154929577465
Rps6ka3,-0.7101953625679016,9.229968111029213e-28,0.10810810810810811,0.9119718309859155
N4bp1,-0.5798291563987732,9.340580421779979e-28,0.10810810810810811,0.8873239436619719
Depdc5,-0.5262698531150818,1.0281412398855588e-27,0.0945945945945946,0.8169014084507042
Kif2a,-0.8069443702697754,1.0424121619506046e-27,0.12162162162162163,0.9436619718309859
Rbm27,-0.6333104372024536,1.0880451296816098e-27,0.12162162162162163,0.926056338028169
Adgrl2,-0.588875412940979,1.088236463621269e-27,0.07432432432432433,0.8028169014084507
Stk4,-0.5490360260009766,1.1449470698228103e-27,0.08783783783783784,0.8591549295774648
Sec24a,-0.5204905867576599,1.1547235357593634e-27,0.07432432432432433,0.8169014084507042
Rnf217,-0.5770317316055298,1.1547235357593634e-27,0.08108108108108109,0.8309859154929577
Vmp1,-0.8479165434837341,1.1709705575558471e-27,0.1554054054054054,0.9471830985915493
Rbm5,-0.6054762005805969,1.1803476102168144e-27,0.10135135135135136,0.8908450704225352
Pikfyve,-0.45809468626976013,1.1975984986520113e-27,0.06756756756756757,0.778169014084507
Eri3,-0.58024001121521,1.2987799727034216e-27,0.10810810810810811,0.897887323943662
Strbp,-0.5815292000770569,1.351526033356589e-27,0.0945945945945946,0.8767605633802817
B3galt1,-0.8761546611785889,1.3792346000653092e-27,0.11486486486486487,0.8802816901408451
B4galt5,-0.7389876246452332,1.4225803910872495e-27,0.12837837837837837,0.9084507042253521
Ilf2,-0.6548906564712524,1.4628381954973679e-27,0.0945945945945946,0.8626760563380281
Cyb5b,-0.8315809965133667,1.472522762539632e-27,0.16891891891891891,0.9612676056338029
Vps13a,-0.817727267742157,1.49764227338474e-27,0.13513513513513514,0.9507042253521126
Cap1,-0.48029935359954834,1.5699150268214008e-27,0.060810810810810814,0.7852112676056338
Gapvd1,-0.7069222927093506,1.5861196365445359e-27,0.13513513513513514,0.926056338028169
Zfp644,-0.7537626028060913,1.6692230910662816e-27,0.12837837837837837,0.9295774647887324
Specc1l,-0.5165848135948181,1.70348182226503e-27,0.07432432432432433,0.8098591549295775
Gm14636,-0.5502077341079712,1.7105096558688078e-27,0.0472972972972973,0.7288732394366197
Ergic3,-0.46543270349502563,1.9038774907564517e-27,0.060810810810810814,0.7746478873239436
Etnk1,-0.6713076829910278,2.1691139049627166e-27,0.11486486486486487,0.9084507042253521
Atrn,-0.5460798740386963,2.1709657325555506e-27,0.07432432432432433,0.8415492957746479
Arnt,-0.49691691994667053,2.3052975010523788e-27,0.05405405405405406,0.7887323943661971
Arhgap31,-0.6736250519752502,2.3140092833349282e-27,0.08783783783783784,0.8485915492957746
Zfp207,-0.6266947984695435,2.532916331590814e-27,0.10135135135135136,0.8802816901408451
Rnf115,-0.4962075650691986,2.7976685921597177e-27,0.060810810810810814,0.7922535211267606
Gcc2,-0.6025538444519043,2.8695403623832956e-27,0.0945945945945946,0.8661971830985915
Ccz1,-0.6254551410675049,2.895185190473355e-27,0.12162162162162163,0.9190140845070423
Atf6,-0.5207181572914124,3.013315562226262e-27,0.0472972972972973,0.795774647887324
Zbtb20,-1.1866596937179565,3.076651692826844e-27,0.18243243243243243,0.9612676056338029
Msmo1,-0.5029089450836182,3.1782015370843765e-27,0.0472972972972973,0.7323943661971831
Evi5,-0.5876138806343079,3.2327389505100735e-27,0.0945945945945946,0.8767605633802817
Glud1,-0.6732620000839233,3.3034697343100686e-27,0.11486486486486487,0.8943661971830986
Sec31a,-0.4308658540248871,3.3437825669722784e-27,0.07432432432432433,0.7992957746478874
H2-T22,-0.49937474727630615,3.723792724092126e-27,0.08108108108108109,0.8345070422535211
Phf21a,-0.9443214535713196,3.861905824844391e-27,0.16216216216216217,0.9401408450704225
Dennd1a,-0.8274394273757935,3.986274840769069e-27,0.14189189189189189,0.9225352112676056
Heatr5a,-0.4744306206703186,4.333004143905116e-27,0.060810810810810814,0.7570422535211268
Herc4,-0.6163638830184937,4.5089926324745626e-27,0.10810810810810811,0.9014084507042254
Lpp,-1.2304490804672241,4.5162425220602525e-27,0.22297297297297297,0.9753521126760564
Arhgap42,-0.6004834175109863,4.5174207582444426e-27,0.08108108108108109,0.8274647887323944
Cop1,-0.6672449707984924,4.5236618557721935e-27,0.12162162162162163,0.9190140845070423
Man1a2,-0.7560573816299438,4.656467840258709e-27,0.14189189189189189,0.9471830985915493
Lncenc1,-0.7124579548835754,4.8049984552742886e-27,0.10810810810810811,0.9049295774647887
Xiap,-0.4990295469760895,5.206416939344803e-27,0.06756756756756757,0.8063380281690141
Creb5,-0.5613026022911072,5.371736437752724e-27,0.060810810810810814,0.7359154929577465
Ap2b1,-0.7232053279876709,5.4159954319921554e-27,0.11486486486486487,0.9014084507042254
Gulp1,-0.5739309191703796,5.550853010098881e-27,0.08108108108108109,0.8098591549295775
Gm1976,-0.44581514596939087,5.762602450722752e-27,0.05405405405405406,0.7464788732394366
Asph,-0.5829902291297913,6.074363623370626e-27,0.060810810810810814,0.7992957746478874
Zzz3,-0.7010852694511414,6.143793392152798e-27,0.12837837837837837,0.9154929577464789
Tiam2,-0.8673924207687378,6.235267573828189e-27,0.14864864864864866,0.9295774647887324
Uvrag,-0.8547905683517456,6.3854130406108016e-27,0.1554054054054054,0.9436619718309859
Rasa2,-0.49639272689819336,6.576105804700682e-27,0.060810810810810814,0.7922535211267606
Lhfpl2,-0.7625290155410767,6.754143997564722e-27,0.13513513513513514,0.8908450704225352
Braf,-0.5771609544754028,6.902860109546598e-27,0.0945945945945946,0.8415492957746479
Ndel1,-0.5307051539421082,6.902998995113134e-27,0.08108108108108109,0.852112676056338
Ttc19,-0.46192947030067444,7.03997473925849e-27,0.060810810810810814,0.8098591549295775
Zfp985,-0.4810875654220581,7.07664226550949e-27,0.033783783783783786,0.7288732394366197
Nop2,-0.4913098216056824,7.118009022410706e-27,0.06756756756756757,0.7746478873239436
Reps1,-0.41827690601348877,7.14054918587894e-27,0.05405405405405406,0.7570422535211268
Tcf7l2,-0.47535863518714905,7.221953680454422e-27,0.0472972972972973,0.7429577464788732
Gm11033,-0.8562979698181152,7.235658411935781e-27,0.14864864864864866,0.9330985915492958
Fry,-0.5337700843811035,7.436422443421097e-27,0.06756756756756757,0.75
Fam168a,-0.4736648499965668,7.765691354149748e-27,0.07432432432432433,0.795774647887324
Tmem87a,-0.4602210521697998,8.092291804003068e-27,0.07432432432432433,0.7852112676056338
Aebp2,-0.4572858214378357,8.148233670487593e-27,0.08783783783783784,0.8309859154929577
Tcf12,-1.012908697128296,8.307405406178163e-27,0.16216216216216217,0.9577464788732394
Tmed5,-0.7588845491409302,8.353438418747709e-27,0.11486486486486487,0.9154929577464789
Mcu,-0.5299118757247925,8.37494805958282e-27,0.07432432432432433,0.8133802816901409
Tusc3,-0.5933808088302612,8.518411537739231e-27,0.10135135135135136,0.8873239436619719
Rc3h2,-0.4588773250579834,8.596217947402634e-27,0.06756756756756757,0.7922535211267606
Casp8ap2,-0.5023552775382996,8.842847389510588e-27,0.08108108108108109,0.8169014084507042
Rsrp1,-0.7193284034729004,8.85268158338901e-27,0.12162162162162163,0.9330985915492958
Jund,-1.1224620342254639,9.366636072512987e-27,0.19594594594594594,0.9507042253521126
Kras,-0.5309559106826782,9.773103771823312e-27,0.07432432432432433,0.8345070422535211
Wwp2,-0.5769575834274292,9.79044795383699e-27,0.0945945945945946,0.8697183098591549
Tacc1,-0.6106610298156738,9.970944487350543e-27,0.0945945945945946,0.8732394366197183
Msh3,-0.4417005181312561,1.0059255355303813e-26,0.06756756756756757,0.7887323943661971
Trim24,-0.5786794424057007,1.0126557594519841e-26,0.08108108108108109,0.8274647887323944
Mib1,-0.5470849275588989,1.0298117647278908e-26,0.10135135135135136,0.8415492957746479
Herc1,-0.6787177324295044,1.0390807891135953e-26,0.12837837837837837,0.9295774647887324
Myef2,-0.5198567509651184,1.1236242296342186e-26,0.0945945945945946,0.8697183098591549
Rabgap1l,-0.6709311604499817,1.1303864993611574e-26,0.12162162162162163,0.8908450704225352
Bmpr1a,-0.5372647643089294,1.1335562876782963e-26,0.06756756756756757,0.8098591549295775
