gene,lfc_a_minus_b,pval,frac_a,frac_b,mean_a,mean_b,padj
Eif3f,0.9379784464836121,9.044846039441519e-26,0.9342560553633218,0.717607973421927,1.1201026439666748,0.7313786149024963,5.546003700031883e-24
Slc25a3,0.8629367351531982,9.150906105052606e-26,0.9480968858131488,0.8338870431893688,1.5540196895599365,1.1155086755752563,5.546003700031883e-24
Mdh2,0.9584590196609497,1.2973718010216402e-25,0.9377162629757786,0.7873754152823921,1.5278619527816772,1.0497233867645264,7.745503289681435e-24
Rpl36a,1.0381138324737549,1.3477895622634494e-25,0.9896193771626297,0.8920265780730897,2.422804117202759,1.7925490140914917,7.928173895667349e-24
Ran,1.0145273208618164,1.4464842965309503e-25,0.986159169550173,0.8837209302325582,2.110490560531616,1.5238394737243652,8.268489189274625e-24
Rpl9,1.040482521057129,1.4469856081230593e-25,0.9965397923875432,0.9534883720930233,3.040405750274658,2.368499755859375,8.268489189274625e-24
Higd1a,0.9080677628517151,1.6670651275866657e-25,0.9480968858131488,0.8006644518272426,1.4450795650482178,1.0034798383712769,9.391916211755863e-24
Rps2,0.9905471801757812,2.436405830096418e-25,0.9965397923875432,0.9817275747508306,3.710649013519287,3.0479094982147217,1.35355879449801e-23
Rps5,1.0243077278137207,3.273845453979982e-25,0.9965397923875432,0.9352159468438538,2.965272903442383,2.3072030544281006,1.7938879199890314e-23
mt-Co1,-1.189910888671875,3.5744098914527566e-25,0.9930795847750865,0.9983388704318937,4.026633262634277,4.841349124908447,1.9309435698501323e-23
Rpl24,0.8607800006866455,3.620519193468998e-25,0.986159169550173,0.9352159468438538,2.7681338787078857,2.2214465141296387,1.9309435698501323e-23
Rps14,0.9360160827636719,4.3600673235690745e-25,0.9965397923875432,0.973421926910299,3.3357930183410645,2.718977928161621,2.294772275562671e-23
Tspo,0.9947841167449951,4.610035675287875e-25,0.9411764705882353,0.7757475083056479,1.4053367376327515,0.9337462186813354,2.394823727422273e-23
Gstp1,1.0918469429016113,4.942976015852877e-25,0.889273356401384,0.5963455149501661,0.8495110869407654,0.4873354732990265,2.5348594953091674e-23
Prdx4,1.0084848403930664,5.505952776126896e-25,0.916955017301038,0.7358803986710963,1.2314081192016602,0.7911410331726074,2.787824190443998e-23
Pebp1,0.8758021593093872,6.556596240170072e-25,0.9480968858131488,0.840531561461794,1.673668384552002,1.2121070623397827,3.278298120085036e-23
