gene,corr_v_hypoxia_residual
Cdh18,0.1554549447315058
Pura,0.15544978635565182
Nrp2,0.15543440842026246
Usp32,0.1553851414651886
Atp5c1,-0.15530902075608793
Pum1,0.15527366823439429
Spcs2,-0.15513828341592634
Ubn2,0.15511052527824165
Cox5a,-0.1550368509305498
Lcorl,0.15501975501508838
Rps4x,-0.154897051539598
Cd81,-0.15483936939175505
Usp9x,0.15478487166279867
Zc3h18,0.1547202436567977
Cbx4,0.1546099197116682
Atp5o,-0.15440988444291648
Arhgef28,0.15428887427981788
Pank3,0.15404757718455545
Larp1,0.1539378894274022
Rps13,-0.15391607711205932
Rptor,0.15377342308203462
Rplp1,-0.15358671967827683
Swi5,-0.15353356711853192
Hs2st1,0.1532841862014416
Tent4b,0.15326681299867104
Btf3,-0.15301231865163142
Osbpl8,0.1526367673478788
Vdac3,-0.15258144184892072
Notch2,0.15252794798074562
Emp1,0.1524547119683153
Nr6a1,0.15243880753463424
Pfkp,0.15235228188972136
B230219D22Rik,0.1522902333191252
Marchf7,0.1521127238056717
Esyt2,0.15207716789025916
Ahcyl2,0.15206514569844903
Psmb1,-0.1520611451381325
Rpl15,-0.15205499637272868
Mx2,0.15197149359225454
Ndufc2,-0.15193876281207538
Tspo,-0.15163435436505002
Serpine1,0.15160284051555262
G3bp1,0.15155883030593162
Dusp1,0.15155505058587918
Ndufa4,-0.15137541556949094
Ubn1,0.15126780014267935
Mdn1,0.15123012849049947
Trpm7,0.15121850197783526
Rbm26,0.15100787818551492
Atp5g2,-0.15087716201270746
Sptan1,0.1507251833486934
Srsf11,0.1506281309624534
Rps8,-0.15052778628358038
Nlk,0.15040031008693475
Macf1,0.15037623484596438
Sh3rf1,0.15032451124243706
Sh3pxd2a,0.15022744193669804
Cox4i1,-0.15008647914573142
Actg1,-0.15002070021021094
Gapdh,-0.14984001532970803
Nopchap1,0.14979373562059115
Brd8,0.14970019773345164
Arid4b,0.14938808717044322
Larp4b,0.14927931790404447
Mast4,0.14919787336905035
Soat1,0.14910695161959658
Csnk2b,-0.14905116196930154
Ostc,-0.14895470201395491
Gm11033,0.14890325290970058
Pebp1,-0.14871778662368795
Prdx4,-0.14858703940487775
Ndufv2,-0.14851082383383624
Ndufa8,-0.14847773321941724
Eef1b2,-0.14834831981977903
Gse1,0.14798397819554682
Ndufb8,-0.14787448571755732
Bcap31,-0.14772935432538317
Gls,0.14768566210046363
Setd2,0.14748376167413838
Cox6c,-0.14741212421363326
Tut4,0.14733439391435876
Tanc1,0.14728412110871694
Tnrc18,0.14723041517326954
Kat6b,0.14722496492655138
Atrx,0.14715620578153274
Slc6a6,0.14706839793809906
Vmp1,0.14703190498808236
Rps15a,-0.14692545775016014
Rtraf,-0.14676207861944246
Tmem14c,-0.1467398559054137
Ints6,0.14663042019498132
Ubr5,0.14653701112114398
Ddit3,0.14630634016724223
Trio,0.14624128983579904
Filip1l,0.14604869117510944
Gstp1,-0.14600494470017514
Nlrc5,0.1457949313709731
Actb,-0.14564974245928838
Lonp1,0.14558320077868375
Zswim6,0.14542627444290618
Lrrfip1,0.145408536648041
Rack1,-0.14537610438363194
Psmb4,-0.14514918747380826
Oaz1,-0.145087918432684
Nop2,0.14507867888585424
Tbc1d4,0.14498904928310705
Rbbp6,0.14496425905805913
Nme1,-0.14482178779092394
Wdr83os,-0.14481021105463115
Eif3f,-0.14478557770168976
Brwd1,0.14476852838939974
Dmxl1,0.14469141785500633
Rpl3,-0.14462112901063798
Scaf8,0.14458221929206108
Cdh13,0.14439502881879454
Rassf1,0.14420143246639788
Nisch,0.14399530662637738
Rps3,-0.14390271671494914
Hsd17b10,-0.14389544407849017
Selenof,-0.14373105463104893
Pgam1,-0.14371036996900016
Snhg5,0.14355338614976573
Ndufb11,-0.14350283426058208
Zfp131,0.14348158435492434
Npm1,-0.14345084269412967
Irf1,0.14339637992790186
Agps,0.14335550531370028
Fundc2,-0.14318091869099656
Abcb1b,0.14296946172625866
Mfhas1,0.1427071444816318
Igfbp4,-0.1427056219865021
Rpl17,-0.14243970252413993
Psma6,-0.14241417196032002
Ddr2,0.14239740445616234
Ube2h,0.1423715132042164
Aebp2,0.14226263342762752
Nfe2l1,0.14211444701241085
Mycbp2,0.14201972159246753
Rpl36a,-0.14201049033872254
Lamc1,0.14182963216087796
Mysm1,0.14181581348746855
Slc25a3,-0.1410490445763589
Cplane1,0.14092367525498353
Med13,0.14091437021627679
Zfp609,0.14079500738035927
Aprt,-0.1407459451230458
Vim,-0.14062632687097246
Zfand3,0.14050031315055245
Zfp644,0.14046884814755412
Thada,0.1404544672797319
mt-Nd6,0.1403694579187388
Nupr1,0.14012602266387472
Ywhag,0.14012457665722325
Dlg1,0.14004540498002743
Myl6,-0.13997147223434075
Specc1,0.13990428373012714
Smarca4,0.1396520207791876
Dnajc13,0.1396253251320588
Mllt10,0.13942925204200088
