gene,lfc_a_minus_b,pval,frac_a,frac_b,mean_a,mean_b,padj
Tmem164,0.22145986557006836,0.08355678170331064,0.8754325259515571,0.8276553106212425,0.5947524905204773,0.528832197189331,0.15621829926768763
Ube2a,-0.11630991101264954,0.08368263175282091,0.8754325259515571,0.9038076152304609,0.5630984306335449,0.5986095070838928,0.15621829926768763
Mctp1,0.3573364019393921,0.08363905275943584,0.6851211072664359,0.627254509018036,0.2854861617088318,0.22945834696292877,0.15621829926768763
Ube2d2a,0.09753871709108353,0.08369395383266365,0.9100346020761245,0.9078156312625251,0.7040736675262451,0.6704732775688171,0.15621829926768763
AI506816,-0.14922060072422028,0.0838636625992326,0.8615916955017301,0.9138276553106213,0.642054557800293,0.6923949122428894,0.15646205708812053
Ccdc47,0.11099213361740112,0.08433968016240675,0.9204152249134948,0.9038076152304609,0.8040792346000671,0.7623067498207092,0.157164907486284
H2ac4,-0.29595136642456055,0.08435826409326294,0.3494809688581315,0.40480961923847697,0.17018882930278778,0.20520159602165222,0.157164907486284
U2af2,-0.18603730201721191,0.08428923170033664,0.8373702422145328,0.9018036072144289,0.443814754486084,0.49196702241897583,0.157164907486284
Cbfa2t2,0.28983747959136963,0.08442514107108466,0.8235294117647058,0.7955911823647295,0.36460480093955994,0.30739080905914307,0.15721627759978524
Tmem11,0.08971446752548218,0.08452533197863588,0.8650519031141869,0.8797595190380761,0.5955925583839417,0.5681632161140442,0.15732960815009003
Gigyf2,0.18937751650810242,0.08466022883704179,0.8754325259515571,0.8597194388777555,0.56058269739151,0.5063492059707642,0.15743417728878062
Zfp36l1,0.17262369394302368,0.08462708159117363,0.8650519031141869,0.8597194388777555,0.6796404123306274,0.6224144101142883,0.15743417728878062
Arpc2,-0.1101374626159668,0.08478995859183366,0.9515570934256056,0.9559118236472945,1.313947319984436,1.3703373670578003,0.15760215351641946
Ghitm,0.04932636022567749,0.08484461992337192,0.9480968858131488,0.9519038076152304,1.0807950496673584,1.0583378076553345,0.15763050612795526
Map2,0.023217201232910156,0.08506731273973585,0.4117647058823529,0.5110220440881763,0.1349164843559265,0.13289961218833923,0.15797086859746676
Tial1,0.14621281623840332,0.08513713737039154,0.8512110726643599,0.8416833667334669,0.4016167223453522,0.3692184090614319,0.15802716913297735
Dph5,0.1664036512374878,0.08519363977013039,0.8062283737024222,0.781563126252505,0.3086828291416168,0.27932336926460266,0.15805870087222706
Pacsin2,0.18663334846496582,0.08553632671929999,0.8512110726643599,0.8356713426853707,0.390186607837677,0.35019418597221375,0.1586209118577654
Dicer1,0.2574230432510376,0.08574189230683081,0.7508650519031141,0.7354709418837675,0.26171979308128357,0.22336238622665405,0.15880349859424317
Sap18,-0.12650856375694275,0.08572938552694621,0.8685121107266436,0.8977955911823647,0.5621733069419861,0.600828230381012,0.15880349859424317
Cep57,0.182830810546875,0.0857538892408913,0.8027681660899654,0.8076152304609219,0.3963070213794708,0.3565826416015625,0.15880349859424317
Atrnl1,0.30904555320739746,0.08604265489723618,0.657439446366782,0.6192384769539078,0.21929089725017548,0.18058185279369354,0.15926451623736454
Lap3,-0.1771923303604126,0.08622685364224951,0.8269896193771626,0.905811623246493,0.5475808382034302,0.6012184023857117,0.15953164411146994
Mecom,0.39224183559417725,0.08637346749653614,0.6262975778546713,0.5791583166332666,0.31418102979660034,0.2478458285331726,0.15972901987339092
Gpatch2,0.21005523204803467,0.08681947981585458,0.7577854671280276,0.7434869739478958,0.26821011304855347,0.23581522703170776,0.16034267088047718
Cep290,0.18585404753684998,0.08682555628177839,0.8927335640138409,0.8617234468937875,0.5985899567604065,0.542609691619873,0.16034267088047718
Shisa5,-0.09323170781135559,0.08674587648973478,0.9273356401384083,0.9198396793587175,0.8247832655906677,0.8615928292274475,0.16034267088047718
Ulk2,0.23724055290222168,0.08715122198851377,0.6608996539792388,0.6513026052104208,0.21899959444999695,0.1887228637933731,0.16086981446887635
Dtx3l,0.16778385639190674,0.08723597991659246,0.8512110726643599,0.843687374749499,0.4553515613079071,0.41436418890953064,0.16095199246603775
Hoxb6,0.39772558212280273,0.08750170163656049,0.5743944636678201,0.5571142284569138,0.1839524656534195,0.14262525737285614,0.16136700683155847
Kcnq5,0.2309868335723877,0.08754160120612048,0.7681660899653979,0.687374749498998,0.5276068449020386,0.4650328457355499,0.16136700683155847
Tcf4,0.3147991895675659,0.08771794499118413,0.7681660899653979,0.7675350701402806,0.40521150827407837,0.33766841888427734,0.1616175863494871
Rfwd3,0.20325851440429688,0.08834889082895736,0.8235294117647058,0.7835671342685371,0.37030646204948425,0.32878684997558594,0.16260255533434637
Hadh,-0.13448204100131989,0.08837448882421725,0.8546712802768166,0.8997995991983968,0.5820056200027466,0.6242093443870544,0.16260255533434637
Peds1,0.14284121990203857,0.08836469326752047,0.8685121107266436,0.8537074148296593,0.45917704701423645,0.4238518178462982,0.16260255533434637
Atp10a,0.3978118896484375,0.08848986822782236,0.6539792387543253,0.625250501002004,0.22270889580249786,0.17339842021465302,0.16273998754542043
Tceal8,-0.12887895107269287,0.08868655086486261,0.9065743944636678,0.9218436873747495,0.8361654877662659,0.8877593874931335,0.1629561193973793
Rpl10a,-0.19872426986694336,0.08868886798202369,0.9896193771626297,0.9919839679358717,2.945631980895996,3.076589584350586,0.1629561193973793
Arhgdia,-0.07234644889831543,0.08883403419053737,0.9688581314878892,0.9619238476953907,1.2534992694854736,1.2895835638046265,0.16314790484947175
Hspa4,0.054090142250061035,0.08899013511008319,0.9653979238754326,0.9759519038076152,1.5934699773788452,1.563711404800415,0.1633595871685786
Nr2c2,0.2491922378540039,0.08904820897936393,0.7854671280276817,0.749498997995992,0.31939879059791565,0.2750576436519623,0.16339120913644756
Atp5b,-0.15706515312194824,0.08916278272114986,0.9446366782006921,0.9619238476953907,1.5980712175369263,1.685853362083435,0.1634514806987165
Rnf111,0.18719589710235596,0.0891361808232767,0.8235294117647058,0.8156312625250501,0.37174925208091736,0.3332359492778778,0.1634514806987165
Bbs9,0.16904044151306152,0.08946065030836166,0.615916955017301,0.5390781563126252,0.18503960967063904,0.16618521511554718,0.16392240093149182
Hnrnpl,0.06315615773200989,0.0895286674081759,0.9273356401384083,0.9378757515030061,0.8701383471488953,0.8449333310127258,0.1639551751134883
Cblb,0.40729260444641113,0.08960150319952136,0.6193771626297578,0.591182364729459,0.20838436484336853,0.16101297736167908,0.1639551751134883
Arhgap35,0.3900434970855713,0.08959229020941639,0.7058823529411765,0.6833667334669339,0.25342756509780884,0.19893766939640045,0.1639551751134883
Dmxl1,0.3015536367893219,0.08991802048051506,0.8546712802768166,0.8557114228456913,0.5614143013954163,0.4769107401371002,0.1644591138189576
Arl3,-0.06061138957738876,0.09013833874020347,0.9134948096885813,0.9238476953907816,0.6478140950202942,0.6680665016174316,0.1647867253020173
Impdh2,-0.13830554485321045,0.09028621615383528,0.9100346020761245,0.9398797595190381,0.9704543352127075,1.0310684442520142,0.16494719606804484
Pabpc4,0.10403671115636826,0.09030858984725455,0.9100346020761245,0.905811623246493,0.6994973421096802,0.6638627052307129,0.16494719606804484
Ndufa3,-0.10813441127538681,0.09050918937174411,0.9134948096885813,0.9098196392785571,0.722743034362793,0.7620134353637695,0.1652381366896287
Micu3,0.2909919023513794,0.09061450215276119,0.7923875432525952,0.7715430861723447,0.294111430644989,0.2464504837989807,0.16535493093569562
Comt,-0.09559961408376694,0.09073213364478994,0.8961937716262975,0.8997995991983968,0.637092113494873,0.6688618063926697,0.16549408781539432
Anxa3,0.18081951141357422,0.09078256428628716,0.8546712802768166,0.8376753507014028,0.43553319573402405,0.3930512070655823,0.1655106003396302
Manf,-0.14367526769638062,0.0910457286655176,0.903114186851211,0.9198396793587175,0.9316198229789734,0.9931538701057434,0.16583921432699017
N4bp2l2,0.13262468576431274,0.09102301795788639,0.9550173010380623,0.9098196392785571,1.0071003437042236,0.9497386813163757,0.16583921432699017
D17H6S56E-5,0.22061097621917725,0.0910913787401297,0.8096885813148789,0.779559118236473,0.5444573760032654,0.48307862877845764,0.16584684340487882
Thoc2,0.13714784383773804,0.09121289417571576,0.916955017301038,0.9038076152304609,0.8175699710845947,0.7655951380729675,0.16599252807227619
B2m,-0.08231210708618164,0.09152338735551274,1.0,0.9879759519038076,2.982067823410034,3.0363070964813232,0.16648183238838152
Ipo11,0.3518790006637573,0.09180555768079232,0.7785467128027682,0.7374749498997996,0.3052801787853241,0.24665379524230957,0.16691919578325876
Phlda1,0.2728338837623596,0.09192653111799765,0.7612456747404844,0.7314629258517034,0.413460373878479,0.35333797335624695,0.16699330597628295
Plgrkt,-0.12149393558502197,0.09192981493994377,0.8304498269896193,0.8637274549098196,0.3778529763221741,0.4051247537136078,0.16699330597628295
Hexim1,0.2791088819503784,0.09219733760187329,0.726643598615917,0.7334669338677354,0.28685614466667175,0.24199892580509186,0.1673637774201906
Grem1,0.30766260623931885,0.0922259598036303,0.30103806228373703,0.24649298597194388,0.22322526574134827,0.18404503166675568,0.1673637774201906
Nol8,0.14697867631912231,0.09225928230288007,0.8235294117647058,0.8236472945891784,0.4099074602127075,0.37679222226142883,0.1673637774201906
Mrps28,-0.15749427676200867,0.09236199798652626,0.8754325259515571,0.9138276553106213,0.5442324280738831,0.5915101766586304,0.16747415772715551
Ppp4r1,0.23538947105407715,0.0927337509690794,0.7854671280276817,0.749498997995992,0.2893097996711731,0.2507563531398773,0.16807204525433514
Nfat5,0.21733689308166504,0.09295175024559497,0.8927335640138409,0.875751503006012,0.7034791707992554,0.6302170157432556,0.1683908518941938
