gene,r_vres,pval,padj
Pus7,0.094971210837201,1.2676075469758256e-05,2.5390236293957446e-05
Fam168b,0.09482562510396116,1.3071738864370796e-05,2.6143477728741593e-05
Atxn1,0.09474432500752672,1.329778598961656e-05,2.6582280838813712e-05
Grk6,0.0945989219428521,1.3711387851488673e-05,2.7381703148254964e-05
Snhg12,0.09455757486700643,1.3831221585311723e-05,2.759230886031646e-05
9530026P05Rik,0.09455540327404345,1.3837542893448704e-05,2.759230886031646e-05
Arhgap35,0.09450533490069524,1.3984053282379111e-05,2.7856679845376716e-05
Arid5b,0.09449953852607298,1.4001109844120902e-05,2.7876774204322354e-05
Zfhx3,0.0944439586242444,1.4165670421487845e-05,2.8190388898483274e-05
Phip,0.09437912705983982,1.435995244287499e-05,2.856280943386373e-05
N4bp1,0.09427172365439478,1.4687409739228163e-05,2.9170625102737165e-05
Il1rl1,0.09421873023379201,1.4851588635094413e-05,2.9482061806639034e-05
Micu1,0.09415085327069815,1.5064433632890217e-05,2.9889749271607576e-05
Nufip1,0.09403318230224475,1.544032359896665e-05,3.060520039438385e-05
Upf2,0.09395329531595534,1.5700590067067706e-05,3.10748937497629e-05
Cep104,0.0939209099454805,1.5807285457415812e-05,3.1270594376688056e-05
Ehd4,0.09385720799999174,1.6019173795352347e-05,3.167409549254048e-05
Uimc1,0.09380997076470535,1.6178040443715302e-05,3.197241194410139e-05
Pnn,0.09372086470584817,1.648181304310655e-05,3.2556667739469733e-05
Cdk6,0.09369268289804142,1.6579013442233016e-05,3.271635607742085e-05
Cited2,0.09358126019230381,1.6968688396308352e-05,3.34523181790209e-05
Bcar3,0.09352330223868653,1.717481579595452e-05,3.3842001568383294e-05
Pla2g5,0.09349599122362809,1.7272771822174064e-05,3.401826060497108e-05
Zfhx4,0.0934489191187882,1.7442854502281437e-05,3.431943827305742e-05
Itsn1,0.09337567880460079,1.7710663673968743e-05,3.481211532966829e-05
Atp6v1a,0.0933727390621229,1.7721494385198217e-05,3.481629545225583e-05
Klhdc10,0.09332007916865953,1.7916577488903403e-05,3.5182282746987536e-05
Vcam1,0.09327052583720984,1.8102017914921314e-05,3.55289851127013e-05
Snhg4,0.09321601461688495,1.830812215997859e-05,3.591588457082607e-05
Ppm1b,0.09319490654029267,1.8388529175247943e-05,3.605593955930969e-05
Ttll4,0.09319036850821712,1.8405859755542124e-05,3.607223861938682e-05
Golga3,0.09315961253330639,1.852372614312389e-05,3.6285457675071285e-05
Rbms1,0.09305662511088993,1.892365874301701e-05,3.703260027987674e-05
Akap9,0.09294050761227882,1.9384434522134555e-05,3.789723269234517e-05
Tgoln1,0.09287930407333411,1.9631579074490882e-05,3.8361659158751115e-05
Arhgap23,0.09271815444603962,2.0296736440239957e-05,3.964206335984367e-05
Zfp710,0.09264206775423549,2.0618191189274107e-05,4.025025122357073e-05
Ptbp2,0.09263678455733393,2.0640690820413595e-05,4.0274518673977744e-05
Mia2,0.09259186377785103,2.0832941611368676e-05,4.062982274279605e-05
Usp47,0.092311813420558,2.2070458616665654e-05,4.298044521259134e-05
Asph,0.09230574739718857,2.209802222221656e-05,4.301318194105413e-05
Zfp36l2,0.09201284739888786,2.3468593270882148e-05,4.565874177214426e-05
Nolc1,0.091748126755857,2.4776511487811295e-05,4.8156484913141485e-05
Tdrd7,0.09159951066956698,2.5540856907517914e-05,4.96179833074656e-05
Mt2,0.09159018162571331,2.5589577094167292e-05,4.968849921197532e-05
Gnl2,0.09155054434492421,2.5797566317682257e-05,5.0068056899917045e-05
8030462N17Rik,0.09142392704111635,2.6472783888352175e-05,5.132871330751755e-05
Mbtps1,0.09137705123668154,2.672699411253535e-05,5.177141716713869e-05
Rab43,0.09131808501590923,2.7050066558185924e-05,5.2371861680902084e-05
Ralgapb,0.0912952790854419,2.7176011267160797e-05,5.259024918657145e-05
Ppan,0.09107707448696269,2.8409536709541192e-05,5.4924188901964605e-05
Jmjd6,0.09090840528810534,2.9399291040142206e-05,5.6810224232158855e-05
Tnfaip6,0.09087766657170716,2.9583159156140566e-05,5.713792207849458e-05
Hectd1,0.09083756057805913,2.9824701606296336e-05,5.75766440275991e-05
Arid2,0.09082777717980348,2.988390667307279e-05,5.766310983709173e-05
Naa15,0.09078703082698633,3.0131689363268604e-05,5.8113190671684866e-05
Rcc2,0.09074212660209134,3.0407016103643076e-05,5.858769962166296e-05
D17H6S56E-5,0.09065924134432345,3.092150710166797e-05,5.9550326628152094e-05
Atf7,0.09063511072111238,3.107283914846872e-05,5.978420230585612e-05
Gabpb2,0.09051713847759454,3.182286542552013e-05,6.119781812600025e-05
Brd1,0.09047049935971849,3.21240954289385e-05,6.171776259162055e-05
Agl,0.09038294499737662,3.2696912148274325e-05,6.275798876828086e-05
Fcho2,0.09030850047558983,3.319157331295418e-05,6.367687925746605e-05
BC005537,0.09010136234039774,3.460559635840536e-05,6.632601122837634e-05
Cep162,0.09008857411127658,3.469474279596655e-05,6.646502451334588e-05
Parg,0.090035861984084,3.5064503604677235e-05,6.71326508807145e-05
Nsd2,0.09003411668990208,3.507681008517333e-05,6.71326508807145e-05
Tnks2,0.09001476613671447,3.521353033008386e-05,6.736208575817095e-05
Zfx,0.0899745886026258,3.549901916805366e-05,6.787575366740662e-05
Meis2,0.08989570917997969,3.606591238526397e-05,6.889381544463031e-05
Gm20559,0.08988509423612681,3.614285275232585e-05,6.90078334173286e-05
Rnpc3,0.08978971253211043,3.684123037728921e-05,7.027416380980297e-05
